MLAT MLON date time
62.8 165.0 20150202 0430
63.7 180.0 20150202 0430
64.5 195.0 20150202 0430
65.0 210.0 20150202 0430
65.3 225.0 20150202 0430
65.3 240.0 20150202 0430
65.1 255.0 20150202 0430
64.5 270.0 20150202 0430
63.8 285.0 20150202 0430
62.9 300.0 20150202 0430
61.9 315.0 20150202 0430
60.9 330.0 20150202 0430
59.8 345.0 20150202 0430
58.9 0.0 20150202 0430
56.4 0.0 20150202 0500
56.2 15.0 20150202 0500
56.4 30.0 20150202 0500
57.1 45.0 20150202 0500
58.1 60.0 20150202 0500
59.4 75.0 20150202 0500
60.9 90.0 20150202 0500
62.6 105.0 20150202 0500
64.3 120.0 20150202 0500
65.8 135.0 20150202 0500
67.1 150.0 20150202 0500
68.1 165.0 20150202 0500
68.8 180.0 20150202 0500
69.0 195.0 20150202 0500
68.8 210.0 20150202 0500
68.2 225.0 20150202 0500
67.1 240.0 20150202 0500
65.8 255.0 20150202 0500
64.3 270.0 20150202 0500
62.6 285.0 20150202 0500
61.0 300.0 20150202 0500
59.4 315.0 20150202 0500
58.1 330.0 20150202 0500
57.1 345.0 20150202 0500
56.4 0.0 20150202 0500
61.8 0.0 20150202 0530
62.1 15.0 20150202 0530
62.6 30.0 20150202 0530
63.2 45.0 20150202 0530
64.0 60.0 20150202 0530
64.8 75.0 20150202 0530
65.5 90.0 20150202 0530
66.3 105.0 20150202 0530
66.9 120.0 20150202 0530
67.4 135.0 20150202 0530
67.7 150.0 20150202 0530
67.8 165.0 20150202 0530
67.7 180.0 20150202 0530
67.3 195.0 20150202 0530
66.9 210.0 20150202 0530
66.2 225.0 20150202 0530
65.5 240.0 20150202 0530
64.7 255.0 20150202 0530
63.9 270.0 20150202 0530
63.2 285.0 20150202 0530
62.5 300.0 20150202 0530
62.1 315.0 20150202 0530
61.8 330.0 20150202 0530
61.7 345.0 20150202 0530
61.8 0.0 20150202 0530
60.6 0.0 20150202 0600
61.3 15.0 20150202 0600
62.1 30.0 20150202 0600
63.1 45.0 20150202 0600
64.1 60.0 20150202 0600
65.2 75.0 20150202 0600
66.2 90.0 20150202 0600
67.0 105.0 20150202 0600
67.7 120.0 20150202 0600
68.2 135.0 20150202 0600
68.3 150.0 20150202 0600
68.2 165.0 20150202 0600
67.8 180.0 20150202 0600
67.2 195.0 20150202 0600
66.4 210.0 20150202 0600
65.4 225.0 20150202 0600
64.3 240.0 20150202 0600
63.3 255.0 20150202 0600
62.3 270.0 20150202 0600
61.4 285.0 20150202 0600
60.8 300.0 20150202 0600
60.3 315.0 20150202 0600
60.1 330.0 20150202 0600
60.3 345.0 20150202 0600
60.6 0.0 20150202 0600
59.4 0.0 20150202 0630
60.0 15.0 20150202 0630
60.9 30.0 20150202 0630
62.0 45.0 20150202 0630
63.4 60.0 20150202 0630
64.8 75.0 20150202 0630
66.3 90.0 20150202 0630
67.6 105.0 20150202 0630
68.7 120.0 20150202 0630
69.6 135.0 20150202 0630
70.1 150.0 20150202 0630
70.3 165.0 20150202 0630
70.1 180.0 20150202 0630
69.5 195.0 20150202 0630
68.6 210.0 20150202 0630
67.5 225.0 20150202 0630
66.1 240.0 20150202 0630
64.7 255.0 20150202 0630
63.3 270.0 20150202 0630
61.9 285.0 20150202 0630
60.8 300.0 20150202 0630
59.9 315.0 20150202 0630
59.4 330.0 20150202 0630
59.2 345.0 20150202 0630
59.4 0.0 20150202 0630
54.0 0.0 20150202 0700
54.4 15.0 20150202 0700
55.4 30.0 20150202 0700
56.9 45.0 20150202 0700
58.8 60.0 20150202 0700
61.0 75.0 20150202 0700
63.3 90.0 20150202 0700
65.6 105.0 20150202 0700
67.6 120.0 20150202 0700
69.4 135.0 20150202 0700
70.7 150.0 20150202 0700
71.5 165.0 20150202 0700
71.7 180.0 20150202 0700
71.2 195.0 20150202 0700
70.2 210.0 20150202 0700
68.7 225.0 20150202 0700
66.8 240.0 20150202 0700
64.6 255.0 20150202 0700
62.3 270.0 20150202 0700
60.1 285.0 20150202 0700
58.0 300.0 20150202 0700
56.2 315.0 20150202 0700
54.9 330.0 20150202 0700
54.1 345.0 20150202 0700
54.0 0.0 20150202 0700
58.8 0.0 20150202 0730
59.7 15.0 20150202 0730
60.9 30.0 20150202 0730
62.4 45.0 20150202 0730
64.1 60.0 20150202 0730
65.9 75.0 20150202 0730
67.6 90.0 20150202 0730
69.2 105.0 20150202 0730
70.4 120.0 20150202 0730
71.3 135.0 20150202 0730
71.8 150.0 20150202 0730
71.8 165.0 20150202 0730
71.4 180.0 20150202 0730
70.5 195.0 20150202 0730
69.2 210.0 20150202 0730
67.7 225.0 20150202 0730
66.0 240.0 20150202 0730
64.2 255.0 20150202 0730
62.5 270.0 20150202 0730
61.0 285.0 20150202 0730
59.7 300.0 20150202 0730
58.8 315.0 20150202 0730
58.3 330.0 20150202 0730
58.3 345.0 20150202 0730
58.8 0.0 20150202 0730
58.8 0.0 20150202 0800
59.7 15.0 20150202 0800
60.9 30.0 20150202 0800
62.4 45.0 20150202 0800
64.1 60.0 20150202 0800
65.9 75.0 20150202 0800
67.6 90.0 20150202 0800
69.2 105.0 20150202 0800
70.4 120.0 20150202 0800
71.3 135.0 20150202 0800
71.8 150.0 20150202 0800
71.8 165.0 20150202 0800
71.4 180.0 20150202 0800
70.5 195.0 20150202 0800
69.2 210.0 20150202 0800
67.7 225.0 20150202 0800
66.0 240.0 20150202 0800
64.2 255.0 20150202 0800
62.5 270.0 20150202 0800
61.0 285.0 20150202 0800
59.7 300.0 20150202 0800
58.8 315.0 20150202 0800
58.3 330.0 20150202 0800
58.3 345.0 20150202 0800
58.8 0.0 20150202 0800
57.9 0.0 20150202 0830
59.3 15.0 20150202 0830
61.1 30.0 20150202 0830
63.1 45.0 20150202 0830
65.2 60.0 20150202 0830
67.2 75.0 20150202 0830
69.0 90.0 20150202 0830
70.5 105.0 20150202 0830
71.5 120.0 20150202 0830
72.1 135.0 20150202 0830
72.1 150.0 20150202 0830
71.6 165.0 20150202 0830
70.6 180.0 20150202 0830
69.1 195.0 20150202 0830
67.3 210.0 20150202 0830
65.3 225.0 20150202 0830
63.3 240.0 20150202 0830
61.3 255.0 20150202 0830
59.4 270.0 20150202 0830
58.0 285.0 20150202 0830
56.9 300.0 20150202 0830
56.4 315.0 20150202 0830
56.3 330.0 20150202 0830
56.9 345.0 20150202 0830
57.9 0.0 20150202 0830
62.6 0.0 20150202 0900
63.7 15.0 20150202 0900
65.0 30.0 20150202 0900
66.3 45.0 20150202 0900
67.6 60.0 20150202 0900
68.7 75.0 20150202 0900
69.7 90.0 20150202 0900
70.3 105.0 20150202 0900
70.7 120.0 20150202 0900
70.7 135.0 20150202 0900
70.4 150.0 20150202 0900
69.7 165.0 20150202 0900
68.8 180.0 20150202 0900
67.7 195.0 20150202 0900
66.4 210.0 20150202 0900
65.1 225.0 20150202 0900
63.8 240.0 20150202 0900
62.7 255.0 20150202 0900
61.8 270.0 20150202 0900
61.1 285.0 20150202 0900
60.7 300.0 20150202 0900
60.7 315.0 20150202 0900
61.1 330.0 20150202 0900
61.7 345.0 20150202 0900
62.6 0.0 20150202 0900
63.0 0.0 20150202 0930
64.8 15.0 20150202 0930
66.7 30.0 20150202 0930
68.5 45.0 20150202 0930
70.2 60.0 20150202 0930
71.5 75.0 20150202 0930
72.5 90.0 20150202 0930
73.0 105.0 20150202 0930
72.9 120.0 20150202 0930
72.5 135.0 20150202 0930
71.5 150.0 20150202 0930
70.2 165.0 20150202 0930
68.5 180.0 20150202 0930
66.7 195.0 20150202 0930
64.8 210.0 20150202 0930
63.0 225.0 20150202 0930
61.3 240.0 20150202 0930
60.0 255.0 20150202 0930
59.1 270.0 20150202 0930
58.6 285.0 20150202 0930
58.6 300.0 20150202 0930
59.1 315.0 20150202 0930
60.0 330.0 20150202 0930
61.4 345.0 20150202 0930
63.0 0.0 20150202 0930
62.5 0.0 20150202 1000
64.2 15.0 20150202 1000
66.0 30.0 20150202 1000
67.8 45.0 20150202 1000
69.5 60.0 20150202 1000
70.9 75.0 20150202 1000
72.1 90.0 20150202 1000
72.8 105.0 20150202 1000
73.1 120.0 20150202 1000
72.9 135.0 20150202 1000
72.3 150.0 20150202 1000
71.2 165.0 20150202 1000
69.8 180.0 20150202 1000
68.1 195.0 20150202 1000
66.3 210.0 20150202 1000
64.5 225.0 20150202 1000
62.8 240.0 20150202 1000
61.4 255.0 20150202 1000
60.2 270.0 20150202 1000
59.5 285.0 20150202 1000
59.2 300.0 20150202 1000
59.4 315.0 20150202 1000
60.0 330.0 20150202 1000
61.1 345.0 20150202 1000
62.5 0.0 20150202 1000
63.3 0.0 20150202 1030
64.9 15.0 20150202 1030
66.7 30.0 20150202 1030
68.4 45.0 20150202 1030
70.1 60.0 20150202 1030
71.5 75.0 20150202 1030
72.5 90.0 20150202 1030
73.2 105.0 20150202 1030
73.4 120.0 20150202 1030
73.2 135.0 20150202 1030
72.5 150.0 20150202 1030
71.4 165.0 20150202 1030
70.0 180.0 20150202 1030
68.4 195.0 20150202 1030
66.6 210.0 20150202 1030
64.9 225.0 20150202 1030
63.2 240.0 20150202 1030
61.8 255.0 20150202 1030
60.8 270.0 20150202 1030
60.1 285.0 20150202 1030
59.9 300.0 20150202 1030
60.1 315.0 20150202 1030
60.8 330.0 20150202 1030
61.9 345.0 20150202 1030
63.3 0.0 20150202 1030
68.8 0.0 20150202 1100
70.3 15.0 20150202 1100
71.7 30.0 20150202 1100
72.8 45.0 20150202 1100
73.6 60.0 20150202 1100
74.1 75.0 20150202 1100
74.2 90.0 20150202 1100
73.8 105.0 20150202 1100
73.1 120.0 20150202 1100
72.1 135.0 20150202 1100
70.8 150.0 20150202 1100
69.3 165.0 20150202 1100
67.8 180.0 20150202 1100
66.3 195.0 20150202 1100
64.9 210.0 20150202 1100
63.8 225.0 20150202 1100
62.9 240.0 20150202 1100
62.5 255.0 20150202 1100
62.4 270.0 20150202 1100
62.7 285.0 20150202 1100
63.4 300.0 20150202 1100
64.5 315.0 20150202 1100
65.8 330.0 20150202 1100
67.2 345.0 20150202 1100
68.8 0.0 20150202 1100
68.8 0.0 20150202 1130
70.3 15.0 20150202 1130
71.7 30.0 20150202 1130
72.8 45.0 20150202 1130
73.6 60.0 20150202 1130
74.1 75.0 20150202 1130
74.2 90.0 20150202 1130
73.8 105.0 20150202 1130
73.1 120.0 20150202 1130
72.1 135.0 20150202 1130
70.8 150.0 20150202 1130
69.3 165.0 20150202 1130
67.8 180.0 20150202 1130
66.3 195.0 20150202 1130
64.9 210.0 20150202 1130
63.8 225.0 20150202 1130
62.9 240.0 20150202 1130
62.5 255.0 20150202 1130
62.4 270.0 20150202 1130
62.7 285.0 20150202 1130
63.4 300.0 20150202 1130
64.5 315.0 20150202 1130
65.8 330.0 20150202 1130
67.2 345.0 20150202 1130
68.8 0.0 20150202 1130
69.1 0.0 20150202 1200
71.0 15.0 20150202 1200
72.5 30.0 20150202 1200
73.7 45.0 20150202 1200
74.4 60.0 20150202 1200
74.6 75.0 20150202 1200
74.2 90.0 20150202 1200
73.3 105.0 20150202 1200
72.0 120.0 20150202 1200
70.3 135.0 20150202 1200
68.4 150.0 20150202 1200
66.4 165.0 20150202 1200
64.4 180.0 20150202 1200
62.5 195.0 20150202 1200
61.0 210.0 20150202 1200
59.8 225.0 20150202 1200
59.1 240.0 20150202 1200
59.0 255.0 20150202 1200
59.3 270.0 20150202 1200
60.2 285.0 20150202 1200
61.5 300.0 20150202 1200
63.2 315.0 20150202 1200
65.1 330.0 20150202 1200
67.1 345.0 20150202 1200
69.1 0.0 20150202 1200
69.6 0.0 20150202 1230
71.3 15.0 20150202 1230
72.6 30.0 20150202 1230
73.6 45.0 20150202 1230
74.0 60.0 20150202 1230
73.9 75.0 20150202 1230
73.3 90.0 20150202 1230
72.3 105.0 20150202 1230
70.8 120.0 20150202 1230
69.0 135.0 20150202 1230
67.1 150.0 20150202 1230
65.1 165.0 20150202 1230
63.2 180.0 20150202 1230
61.5 195.0 20150202 1230
60.2 210.0 20150202 1230
59.3 225.0 20150202 1230
58.8 240.0 20150202 1230
58.9 255.0 20150202 1230
59.5 270.0 20150202 1230
60.6 285.0 20150202 1230
62.0 300.0 20150202 1230
63.8 315.0 20150202 1230
65.7 330.0 20150202 1230
67.7 345.0 20150202 1230
69.6 0.0 20150202 1230
69.6 0.0 20150202 1300
71.3 15.0 20150202 1300
72.6 30.0 20150202 1300
73.6 45.0 20150202 1300
74.0 60.0 20150202 1300
73.9 75.0 20150202 1300
73.3 90.0 20150202 1300
72.3 105.0 20150202 1300
70.8 120.0 20150202 1300
69.0 135.0 20150202 1300
67.1 150.0 20150202 1300
65.1 165.0 20150202 1300
63.2 180.0 20150202 1300
61.5 195.0 20150202 1300
60.2 210.0 20150202 1300
59.3 225.0 20150202 1300
58.8 240.0 20150202 1300
58.9 255.0 20150202 1300
59.5 270.0 20150202 1300
60.6 285.0 20150202 1300
62.0 300.0 20150202 1300
63.8 315.0 20150202 1300
65.7 330.0 20150202 1300
67.7 345.0 20150202 1300
69.6 0.0 20150202 1300
69.9 0.0 20150202 1330
71.6 15.0 20150202 1330
72.9 30.0 20150202 1330
73.8 45.0 20150202 1330
74.1 60.0 20150202 1330
73.9 75.0 20150202 1330
73.2 90.0 20150202 1330
72.0 105.0 20150202 1330
70.4 120.0 20150202 1330
68.5 135.0 20150202 1330
66.4 150.0 20150202 1330
64.4 165.0 20150202 1330
62.4 180.0 20150202 1330
60.7 195.0 20150202 1330
59.4 210.0 20150202 1330
58.5 225.0 20150202 1330
58.2 240.0 20150202 1330
58.4 255.0 20150202 1330
59.1 270.0 20150202 1330
60.3 285.0 20150202 1330
61.9 300.0 20150202 1330
63.8 315.0 20150202 1330
65.9 330.0 20150202 1330
67.9 345.0 20150202 1330
69.9 0.0 20150202 1330
70.0 0.0 20150202 1400
71.6 15.0 20150202 1400
72.9 30.0 20150202 1400
73.7 45.0 20150202 1400
74.0 60.0 20150202 1400
73.8 75.0 20150202 1400
73.1 90.0 20150202 1400
72.0 105.0 20150202 1400
70.4 120.0 20150202 1400
68.6 135.0 20150202 1400
66.7 150.0 20150202 1400
64.7 165.0 20150202 1400
62.9 180.0 20150202 1400
61.3 195.0 20150202 1400
60.0 210.0 20150202 1400
59.2 225.0 20150202 1400
58.9 240.0 20150202 1400
59.1 255.0 20150202 1400
59.8 270.0 20150202 1400
60.9 285.0 20150202 1400
62.5 300.0 20150202 1400
64.3 315.0 20150202 1400
66.2 330.0 20150202 1400
68.2 345.0 20150202 1400
70.0 0.0 20150202 1400
72.6 0.0 20150202 1430
72.4 15.0 20150202 1430
72.0 30.0 20150202 1430
71.4 45.0 20150202 1430
70.6 60.0 20150202 1430
69.7 75.0 20150202 1430
68.8 90.0 20150202 1430
68.0 105.0 20150202 1430
67.2 120.0 20150202 1430
66.5 135.0 20150202 1430
66.0 150.0 20150202 1430
65.7 165.0 20150202 1430
65.7 180.0 20150202 1430
65.9 195.0 20150202 1430
66.3 210.0 20150202 1430
66.9 225.0 20150202 1430
67.7 240.0 20150202 1430
68.5 255.0 20150202 1430
69.4 270.0 20150202 1430
70.3 285.0 20150202 1430
71.1 300.0 20150202 1430
71.8 315.0 20150202 1430
72.3 330.0 20150202 1430
72.6 345.0 20150202 1430
72.6 0.0 20150202 1430
71.9 0.0 20150202 1500
71.6 15.0 20150202 1500
71.2 30.0 20150202 1500
70.6 45.0 20150202 1500
69.8 60.0 20150202 1500
69.0 75.0 20150202 1500
68.2 90.0 20150202 1500
67.5 105.0 20150202 1500
66.8 120.0 20150202 1500
66.2 135.0 20150202 1500
65.9 150.0 20150202 1500
65.7 165.0 20150202 1500
65.7 180.0 20150202 1500
66.0 195.0 20150202 1500
66.5 210.0 20150202 1500
67.1 225.0 20150202 1500
67.8 240.0 20150202 1500
68.6 255.0 20150202 1500
69.4 270.0 20150202 1500
70.2 285.0 20150202 1500
70.9 300.0 20150202 1500
71.4 315.0 20150202 1500
71.8 330.0 20150202 1500
71.9 345.0 20150202 1500
71.9 0.0 20150202 1500
71.5 0.0 20150202 1530
69.9 15.0 20150202 1530
68.4 30.0 20150202 1530
67.2 45.0 20150202 1530
66.2 60.0 20150202 1530
65.6 75.0 20150202 1530
65.4 90.0 20150202 1530
65.6 105.0 20150202 1530
66.2 120.0 20150202 1530
67.1 135.0 20150202 1530
68.4 150.0 20150202 1530
69.8 165.0 20150202 1530
71.4 180.0 20150202 1530
73.0 195.0 20150202 1530
74.4 210.0 20150202 1530
75.7 225.0 20150202 1530
76.6 240.0 20150202 1530
77.3 255.0 20150202 1530
77.5 270.0 20150202 1530
77.3 285.0 20150202 1530
76.7 300.0 20150202 1530
75.7 315.0 20150202 1530
74.5 330.0 20150202 1530
73.0 345.0 20150202 1530
71.5 0.0 20150202 1530
70.0 0.0 20150202 1600
69.6 15.0 20150202 1600
68.9 30.0 20150202 1600
68.2 45.0 20150202 1600
67.3 60.0 20150202 1600
66.4 75.0 20150202 1600
65.6 90.0 20150202 1600
64.8 105.0 20150202 1600
64.2 120.0 20150202 1600
63.8 135.0 20150202 1600
63.6 150.0 20150202 1600
63.6 165.0 20150202 1600
63.8 180.0 20150202 1600
64.3 195.0 20150202 1600
64.9 210.0 20150202 1600
65.7 225.0 20150202 1600
66.6 240.0 20150202 1600
67.5 255.0 20150202 1600
68.3 270.0 20150202 1600
69.1 285.0 20150202 1600
69.7 300.0 20150202 1600
70.1 315.0 20150202 1600
70.3 330.0 20150202 1600
70.3 345.0 20150202 1600
70.0 0.0 20150202 1600
70.0 0.0 20150202 1630
69.6 15.0 20150202 1630
68.9 30.0 20150202 1630
68.2 45.0 20150202 1630
67.3 60.0 20150202 1630
66.4 75.0 20150202 1630
65.6 90.0 20150202 1630
64.8 105.0 20150202 1630
64.2 120.0 20150202 1630
63.8 135.0 20150202 1630
63.6 150.0 20150202 1630
63.6 165.0 20150202 1630
63.8 180.0 20150202 1630
64.3 195.0 20150202 1630
64.9 210.0 20150202 1630
65.7 225.0 20150202 1630
66.6 240.0 20150202 1630
67.5 255.0 20150202 1630
68.3 270.0 20150202 1630
69.1 285.0 20150202 1630
69.7 300.0 20150202 1630
70.1 315.0 20150202 1630
70.3 330.0 20150202 1630
70.3 345.0 20150202 1630
70.0 0.0 20150202 1630
73.8 0.0 20150202 1700
72.9 15.0 20150202 1700
71.7 30.0 20150202 1700
70.1 45.0 20150202 1700
68.5 60.0 20150202 1700
66.7 75.0 20150202 1700
65.1 90.0 20150202 1700
63.6 105.0 20150202 1700
62.4 120.0 20150202 1700
61.6 135.0 20150202 1700
61.1 150.0 20150202 1700
61.2 165.0 20150202 1700
61.7 180.0 20150202 1700
62.6 195.0 20150202 1700
63.8 210.0 20150202 1700
65.3 225.0 20150202 1700
67.0 240.0 20150202 1700
68.7 255.0 20150202 1700
70.4 270.0 20150202 1700
71.9 285.0 20150202 1700
73.1 300.0 20150202 1700
73.9 315.0 20150202 1700
74.3 330.0 20150202 1700
74.3 345.0 20150202 1700
73.8 0.0 20150202 1700
75.3 0.0 20150202 1730
74.0 15.0 20150202 1730
72.3 30.0 20150202 1730
70.3 45.0 20150202 1730
68.2 60.0 20150202 1730
66.1 75.0 20150202 1730
64.0 90.0 20150202 1730
62.3 105.0 20150202 1730
60.9 120.0 20150202 1730
60.0 135.0 20150202 1730
59.7 150.0 20150202 1730
59.9 165.0 20150202 1730
60.7 180.0 20150202 1730
62.0 195.0 20150202 1730
63.7 210.0 20150202 1730
65.6 225.0 20150202 1730
67.8 240.0 20150202 1730
69.9 255.0 20150202 1730
71.9 270.0 20150202 1730
73.7 285.0 20150202 1730
75.1 300.0 20150202 1730
75.9 315.0 20150202 1730
76.3 330.0 20150202 1730
76.1 345.0 20150202 1730
75.3 0.0 20150202 1730
75.2 0.0 20150202 1800
73.8 15.0 20150202 1800
72.0 30.0 20150202 1800
69.9 45.0 20150202 1800
67.6 60.0 20150202 1800
65.4 75.0 20150202 1800
63.3 90.0 20150202 1800
61.5 105.0 20150202 1800
60.1 120.0 20150202 1800
59.3 135.0 20150202 1800
59.0 150.0 20150202 1800
59.3 165.0 20150202 1800
60.2 180.0 20150202 1800
61.6 195.0 20150202 1800
63.4 210.0 20150202 1800
65.5 225.0 20150202 1800
67.7 240.0 20150202 1800
70.0 255.0 20150202 1800
72.1 270.0 20150202 1800
73.9 285.0 20150202 1800
75.2 300.0 20150202 1800
76.1 315.0 20150202 1800
76.4 330.0 20150202 1800
76.1 345.0 20150202 1800
75.2 0.0 20150202 1800
72.5 0.0 20150202 1830
70.8 15.0 20150202 1830
68.8 30.0 20150202 1830
66.6 45.0 20150202 1830
64.2 60.0 20150202 1830
62.0 75.0 20150202 1830
60.0 90.0 20150202 1830
58.3 105.0 20150202 1830
57.2 120.0 20150202 1830
56.6 135.0 20150202 1830
56.6 150.0 20150202 1830
57.2 165.0 20150202 1830
58.4 180.0 20150202 1830
60.0 195.0 20150202 1830
62.1 210.0 20150202 1830
64.3 225.0 20150202 1830
66.7 240.0 20150202 1830
68.9 255.0 20150202 1830
70.9 270.0 20150202 1830
72.6 285.0 20150202 1830
