-6.93241706845 3.61548762387 0.5   True 64.0 0.0 419.985261617 56.0349255035 "2012-10-23 07:16:00"
-23.7807140123   61.22 1.58 False 65.0 -7.0 -9371.38603974  "2013-10-02 04:54:00"
-23.7807140123   66.43 -9.25 False 65.0 -6.0 3547.23552496  "2013-10-02 04:54:00"
-23.7807140123   61.41 2.29 False 65.5 -7.0 -10154.5530172  "2013-10-02 04:54:00"
-18.8718606086 6.23213133548 1.5   True 57.5 -6.0 581.394423151 54.8370115698 "2013-10-02 04:56:00"
-18.8718606086   55.2 -6.59 False 55.0 -6.0 627.376751675  "2013-10-02 04:56:00"
-18.8718606086   57.18 -4.52 False 57.0 -4.0 544.311710399  "2013-10-02 04:56:00"
-18.8718606086   57.66 -4.48 False 57.5 -4.0 508.500723338  "2013-10-02 04:56:00"
-18.8718606086   58.19 -4.55 False 58.0 -4.0 579.060171196  "2013-10-02 04:56:00"
-18.8718606086   64.39 -10.08 False 63.0 -6.0 4311.4465222  "2013-10-02 04:56:00"
-18.8718606086   65.47 -12.76 False 63.5 -7.0 6085.10599984  "2013-10-02 04:56:00"
-18.8718606086   70.28 -25.37 False 64.0 -7.0 19410.7201861  "2013-10-02 04:56:00"
-18.8718606086   64.96 -8.8 False 64.0 -6.0 2958.61357619  "2013-10-02 04:56:00"
-18.8718606086   69.38 -21.28 False 64.5 -7.0 15088.5913582  "2013-10-02 04:56:00"
-18.8718606086   68.07 -15.98 False 65.0 -7.0 9489.33147638  "2013-10-02 04:56:00"
-18.8718606086   66.07 -9.13 False 65.0 -6.0 3307.76212347  "2013-10-02 04:56:00"
-18.8718606086   67.93 -14.1 False 65.5 -7.0 7499.76333468  "2013-10-02 04:56:00"
-17.0819594894 8.40082909853 1.0   True 59.5 -5.0 1183.91998352 107.476225227 "2013-10-02 04:58:00"
-14.5645149612 0.710384037026 0.5   True 62.0 -6.0 1789.93358659 24.1256464248 "2013-10-02 04:58:00"
-14.5645149612   52.08 -6.31 False 52.0 -6.0 319.713436723  "2013-10-02 04:58:00"
-14.5645149612   53.08 -6.32 False 53.0 -6.0 330.524089194  "2013-10-02 04:58:00"
-14.5645149612   54.08 -6.32 False 54.0 -6.0 325.824056409  "2013-10-02 04:58:00"
-14.5645149612   55.1 -6.37 False 55.0 -6.0 381.404279055  "2013-10-02 04:58:00"
-14.5645149612   58.95 -7.75 False 58.5 -6.0 1806.04373297  "2013-10-02 04:58:00"
-14.5645149612   60.49 -7.9 False 60.0 -6.0 1967.86994488  "2013-10-02 04:58:00"
-14.5645149612   61.88 -7.47 False 61.5 -6.0 1521.19152164  "2013-10-02 04:58:00"
-14.5645149612   63.16 -8.55 False 62.5 -6.0 2637.03010596  "2013-10-02 04:58:00"
-14.5645149612   63.75 -9.88 False 63.0 -7.0 2978.57314418  "2013-10-02 04:58:00"
-14.5645149612   63.58 -8.23 False 63.0 -6.0 2299.26045738  "2013-10-02 04:58:00"
-14.5645149612   64.65 -11.44 False 63.5 -7.0 4583.65459015  "2013-10-02 04:58:00"
-14.5645149612   64.96 -10.68 False 64.0 -7.0 3799.35488624  "2013-10-02 04:58:00"
-14.5645149612   64.6 -8.31 False 64.0 -6.0 2383.79789667  "2013-10-02 04:58:00"
-14.5645149612   67.31 -17.82 False 64.5 -7.0 11180.9097609  "2013-10-02 04:58:00"
-14.5645149612   65.76 -9.92 False 65.0 -7.0 3016.09768601  "2013-10-02 04:58:00"
-14.5645149612   66.81 -12.05 False 65.5 -7.0 5220.86834526  "2013-10-02 04:58:00"
-10.2583244142 7.26302089344 1.5   True 56.0 -3.0 507.546345568 65.6705868965 "2013-10-02 05:14:00"
-10.2583244142   49.53 -7.17 False 49.5 -7.0 173.176459895  "2013-10-02 05:14:00"
-10.2583244142   50.55 -7.29 False 50.5 -7.0 294.907668881  "2013-10-02 05:14:00"
-10.2583244142   51.08 -7.43 False 51.0 -7.0 441.17699885  "2013-10-02 05:14:00"
-10.2583244142   51.58 -7.44 False 51.5 -7.0 447.877319043  "2013-10-02 05:14:00"
-10.2583244142   52.09 -7.5 False 52.0 -7.0 513.096998142  "2013-10-02 05:14:00"
-10.2583244142   56.14 -2.75 False 56.0 -2.0 758.167926049  "2013-10-02 05:14:00"
-10.2583244142   58.65 -6.58 False 58.0 -3.0 3642.85862032  "2013-10-02 05:14:00"
