beam,range,geoAzm,magAzm,vLos,MLAT,MLT,MLON,GLAT,GLON,radId,radCode,normMLT_x,normMLTRound,spwdth,pwr
5,25,32.94,19.35,77.9217,60.652,0.5552,-48.961,52.1191,-110.513,207,cve,0.5552,0,74.5152,23.0609
5,26,32.94,19.54,65.2845,61.0241,0.5871,-48.4822,52.4266,-110.0738,207,cve,0.5871,0,68.6036,23.0819
5,27,32.94,19.75,56.7847,61.3941,0.6197,-47.9927,52.7324,-109.6296,207,cve,0.6197,0,62.0989,24.7409
5,28,32.94,19.97,54.6157,61.762,0.6531,-47.4921,53.0364,-109.1802,207,cve,0.6531,0,62.0989,24.4333
6,20,36.18,22.21,392.2195,58.5499,0.4639,-50.3297,50.2152,-112.0105,207,cve,0.4639,0,233.5206,20.3581
6,21,36.18,22.36,387.2239,58.9202,0.4956,-49.855,50.5153,-111.5663,207,cve,0.4956,0,224.7997,26.3238
6,22,36.18,22.53,187.1588,59.288,0.5278,-49.3711,50.8133,-111.1182,207,cve,0.5278,0,146.3398,26.573
6,23,36.18,22.71,158.7346,59.6535,0.5608,-48.8775,51.1091,-110.666,207,cve,0.5608,0,100.035,26.1188
6,24,36.18,22.9,113.2529,60.0167,0.5943,-48.374,51.4028,-110.2094,207,cve,0.5943,0,75.9746,24.0872
6,25,36.18,23.11,89.1985,60.3775,0.6286,-47.8599,51.6945,-109.7483,207,cve,0.6286,0,71.1935,23.0819
6,26,36.18,23.33,77.8416,60.7359,0.6636,-47.3349,51.9842,-109.2823,207,cve,0.6636,0,65.9358,23.4246
6,27,36.18,23.57,65.2845,61.092,0.6993,-46.7986,52.2719,-108.8114,207,cve,0.6993,0,67.4291,23.4246
6,28,36.18,23.82,61.6635,61.4456,0.7359,-46.2506,52.5576,-108.3354,207,cve,0.7359,0,67.4291,22.8907
6,29,36.18,24.09,55.1535,61.7967,0.7732,-45.6905,52.8412,-107.8539,207,cve,0.7732,0,60.1612,14.8441
7,21,39.42,25.99,615.7123,58.6628,0.554,-48.9794,50.1339,-110.9516,207,cve,0.554,0,242.4877,23.7973
7,22,39.42,26.18,577.0076,59.0168,0.5889,-48.4554,50.4138,-110.4794,207,cve,0.5889,0,221.4918,26.494
7,23,39.42,26.39,187.1588,59.3682,0.6245,-47.9212,50.6914,-110.0033,207,cve,0.6245,0,107.8679,26.9549
7,24,39.42,26.61,159.5057,59.7168,0.6608,-47.3767,50.9668,-109.5228,207,cve,0.6608,0,81.6784,25.9386
7,25,39.42,26.84,115.6923,60.0629,0.6978,-46.8212,51.2399,-109.0379,207,cve,0.6978,0,56.0394,23.8484
7,26,39.42,27.09,88.1359,60.4062,0.7356,-46.2544,51.5107,-108.5482,207,cve,0.7356,0,48.9428,24.2227
7,27,39.42,27.36,73.6758,60.7468,0.7742,-45.6761,51.7794,-108.0538,207,cve,0.7742,0,46.6194,23.925
7,28,39.42,27.64,68.3831,61.0846,0.8135,-45.0856,52.0458,-107.5543,207,cve,0.8135,0,50.5231,23.2964
7,29,39.42,27.94,62.004,61.4195,0.8537,-44.4828,52.31,-107.0497,207,cve,0.8537,0,47.7748,21.6441
8,22,42.66,29.82,703.5563,58.7117,0.6463,-47.5944,49.9892,-109.8883,207,cve,0.6463,0,242.4877,26.494
8,23,42.66,30.05,446.5037,59.0475,0.6843,-47.0236,50.2477,-109.3908,207,cve,0.6843,0,175.518,27.8088
8,24,42.66,30.29,189.3317,59.3804,0.7231,-46.4421,50.5038,-108.8893,207,cve,0.7231,0,106.3102,27.0786
8,25,42.66,30.55,159.5057,59.7103,0.7626,-45.8496,50.7574,-108.3834,207,cve,0.7626,0,72.755,26.8461
8,26,42.66,30.82,117.9073,60.0372,0.8029,-45.2457,51.0086,-107.8732,207,cve,0.8029,0,48.9428,26.6465
8,27,42.66,31.12,89.5147,60.361,0.8439,-44.6301,51.2574,-107.3583,207,cve,0.8439,0,35.8872,26.933
8,28,42.66,31.43,76.6516,60.6817,0.8858,-44.0024,51.5038,-106.8386,207,cve,0.8858,0,33.2844,25.4837
8,29,42.66,31.75,67.4708,60.9992,0.9284,-43.3623,51.7478,-106.3141,207,cve,0.9284,0,35.8872,24.2343
8,30,42.66,32.1,51.7134,61.3134,0.972,-42.7095,51.9893,-105.7845,207,cve,0.972,0,33.4501,21.6441
9,23,45.9,33.68,461.4401,58.6937,0.74,-46.1881,49.78,-108.83,207,cve,0.74,0,236.5355,26.5917
9,24,45.9,33.95,341.0987,59.0096,0.781,-45.574,50.0161,-108.3101,207,cve,0.781,0,195.8987,27.8088
9,25,45.9,34.23,220.8066,59.3222,0.8227,-44.949,50.2496,-107.7862,207,cve,0.8227,0,121.3722,27.8088
9,26,45.9,34.52,155.1402,59.6315,0.8651,-44.3126,50.4804,-107.2582,207,cve,0.8651,0,87.6244,28.4311
9,27,45.9,34.84,118.9203,59.9374,0.9083,-43.6647,50.7087,-106.7259,207,cve,0.9083,0,36.8597,28.3502
9,28,45.9,35.17,104.8836,60.2399,0.9523,-43.0049,50.9343,-106.1892,207,cve,0.9523,0,35.8872,27.8962
9,29,45.9,35.52,87.0458,60.5388,0.9971,-42.3329,51.1574,-105.648,207,cve,0.9971,0,38.9041,25.4837
10,24,49.14,37.57,389.28,58.6067,0.8342,-44.7752,49.506,-107.7861,207,cve,0.8342,0,236.5355,26.2469
10,25,49.14,37.87,305.659,58.901,0.8778,-44.1221,49.7187,-107.247,207,cve,0.8778,0,195.8987,26.3909
10,26,49.14,38.19,224.3157,59.1917,0.9221,-43.458,49.9286,-106.7041,207,cve,0.9221,0,121.3722,28.0809
10,27,49.14,38.52,161.0301,59.4787,0.9671,-42.7826,50.1357,-106.1574,207,cve,0.9671,0,87.6244,28.0695
11,24,52.38,41.16,461.3958,58.1742,0.8827,-44.0476,48.9757,-107.3176,207,cve,0.8827,0,233.5449,22.4233
11,25,52.38,41.48,362.9501,58.4493,0.9279,-43.3709,49.1671,-106.766,207,cve,0.9279,0,212.5418,25.4967
11,26,52.38,41.81,305.659,58.7206,0.9737,-42.6837,49.3556,-106.2111,207,cve,0.9737,0,166.2231,25.4967
3,22,-47.54,-65.65,-98.1178,53.6511,23.0043,-72.2242,49.2307,-131.7041,206,cvw,-0.9957,0,3.7438,21.9903
4,22,-44.3,-62.54,-95.7624,54.2058,23.0283,-71.8649,49.6945,-131.193,206,cvw,-0.9717,0,2.9759,21.9903
5,22,-41.06,-59.43,-93.206,54.7494,23.0562,-71.4454,50.1358,-130.6328,206,cvw,-0.9438,0,2.7519,21.8695
5,23,-41.06,-59.53,-96.4633,54.9177,23.0168,-72.0372,50.4114,-131.1091,206,cvw,-0.9832,0,2.7277,25.4305
6,21,-37.82,-56.18,-87.9356,55.0852,23.1265,-70.3907,50.256,-129.5768,206,cvw,-0.8735,0,7.2215,17.1941
6,22,-37.82,-56.3,-90.0795,55.2796,23.0882,-70.9652,50.5526,-130.0247,206,cvw,-0.9118,0,2.2107,19.3766
6,23,-37.82,-56.41,-93.206,55.4704,23.0497,-71.5434,50.8464,-130.4776,206,cvw,-0.9503,0,1.7506,20.4079
6,24,-37.82,-56.51,-95.6684,55.6576,23.0109,-72.1255,51.1374,-130.9359,206,cvw,-0.9891,0,1.8978,19.0513
7,21,-34.58,-53.02,-86.6203,55.5776,23.1615,-69.8666,50.6294,-128.9483,206,cvw,-0.8385,0,7.2215,12.2865
7,22,-34.58,-53.15,-88.7807,55.7941,23.1243,-70.4238,50.943,-129.3701,206,cvw,-0.8757,0,2.2107,17.1941
7,23,-34.58,-53.27,-92.6836,56.0072,23.0869,-70.9853,51.254,-129.797,206,cvw,-0.9131,0,2.2107,17.4444
7,24,-34.58,-53.39,-95.9409,56.2169,23.0492,-71.5512,51.5626,-130.2293,206,cvw,-0.9508,0,3.042,14.2616
7,25,-34.58,-53.5,-97.1009,56.4232,23.0111,-72.1216,51.8688,-130.667,206,cvw,-0.9889,0,6.2253,11.4439
8,20,-31.34,-49.71,-81.0982,55.811,23.2357,-68.7529,50.6436,-127.8899,206,cvw,-0.7643,0,7.2215,10.7024
8,21,-31.34,-49.85,-81.6205,56.0524,23.2003,-69.2848,50.9756,-128.278,206,cvw,-0.7997,0,7.1301,12.2865
8,22,-31.34,-49.98,-88.7807,56.2906,23.1645,-69.8213,51.3051,-128.6711,206,cvw,-0.8355,0,4.9794,12.2865
8,23,-31.34,-50.12,-92.6836,56.5255,23.1284,-70.3626,51.6324,-129.0692,206,cvw,-0.8716,0,4.9794,10.9781
8,24,-31.34,-50.24,-100.3566,56.7573,23.092,-70.9089,51.9575,-129.4726,206,cvw,-0.908,0,4.9794,8.4536
9,20,-28.1,-46.51,-80.1537,56.2451,23.2767,-68.1382,50.9463,-127.2113,206,cvw,-0.7233,0,7.1301,13.3629
9,23,-28.1,-46.94,-96.6386,57.0228,23.1742,-69.6759,51.9797,-128.2967,206,cvw,-0.8258,0,22.5904,6.7907
10,27,-24.86,-44.32,-728.8666,58.5777,23.0896,-70.9448,53.7021,-128.8633,206,cvw,-0.9104,0,226.1224,19.4141
10,28,-24.86,-44.46,-750.4425,58.8415,23.0549,-71.4649,54.0502,-129.2221,206,cvw,-0.9451,0,211.8477,19.9145
10,29,-24.86,-44.6,-753.5878,59.1027,23.0198,-71.9915,54.3969,-129.5868,206,cvw,-0.9802,0,211.8477,19.9741
11,23,-21.62,-40.5,-123.3724,57.9443,23.2783,-68.1137,52.5736,-126.6296,206,cvw,-0.7217,0,101.737,5.6225
11,24,-21.62,-40.66,-124.7737,58.2385,23.2473,-68.5786,52.9408,-126.9302,206,cvw,-0.7527,0,101.737,5.6225
11,25,-21.62,-40.81,-728.8666,58.5304,23.216,-69.0494,53.3065,-127.2355,206,cvw,-0.784,0,185.8141,12.9586
11,26,-21.62,-40.97,-895.467,58.8199,23.1842,-69.5264,53.6709,-127.5456,206,cvw,-0.8158,0,235.1421,19.5577
11,27,-21.62,-41.12,-728.8666,59.1071,23.1519,-70.0097,54.0339,-127.8607,206,cvw,-0.8481,0,224.0473,21.4308
11,28,-21.62,-41.28,-724.6716,59.392,23.1193,-70.4996,54.3957,-128.181,206,cvw,-0.8807,0,211.8477,21.4308
11,29,-21.62,-41.43,-658.9243,59.6746,23.0862,-70.9962,54.7562,-128.5068,206,cvw,-0.9138,0,193.9877,21.3378
11,30,-21.62,-41.58,-164.3891,59.9549,23.0526,-71.4998,55.1155,-128.8381,206,cvw,-0.9474,0,193.8518,21.491
11,31,-21.62,-41.73,-131.9264,60.2329,23.0185,-72.0106,55.4736,-129.1752,206,cvw,-0.9815,0,174.6802,21.5109
12,23,-18.38,-37.24,-700.452,58.3635,23.3365,-67.2417,52.817,-125.7423,206,cvw,-0.6635,0,185.8141,10.7115
12,24,-18.38,-37.4,-723.9586,58.6767,23.3078,-67.6716,53.1954,-126.0037,206,cvw,-0.6922,0,188.3216,12.9586
12,25,-18.38,-37.56,-822.8627,58.9878,23.2788,-68.1074,53.5726,-126.2692,206,cvw,-0.7212,0,218.2353,19.5577
12,26,-18.38,-37.72,-728.8666,59.2969,23.2493,-68.5494,53.9486,-126.539,206,cvw,-0.7507,0,235.1421,24.0973
12,27,-18.38,-37.89,-574.6419,59.604,23.2194,-68.9977,54.3234,-126.8133,206,cvw,-0.7806,0,224.0473,22.9436
12,28,-18.38,-38.05,-540.0219,59.909,23.1891,-69.4527,54.6972,-127.0923,206,cvw,-0.8109,0,183.1952,22.0482
12,29,-18.38,-38.21,-121.4757,60.212,23.1583,-69.9145,55.07,-127.3761,206,cvw,-0.8417,0,114.8662,21.696
13,23,-15.14,-33.93,-796.6189,58.7518,23.3984,-66.3124,53.0229,-124.8246,206,cvw,-0.6016,0,217.3044,22.4683
13,24,-15.14,-34.1,-796.6189,59.0828,23.3724,-66.7034,53.4109,-125.0447,206,cvw,-0.6276,0,235.3643,26.1068
13,25,-15.14,-34.27,-700.452,59.412,23.3459,-67.1001,53.7979,-125.2683,206,cvw,-0.6541,0,241.7321,26.1442
13,26,-15.14,-34.43,-492.4761,59.7395,23.3191,-67.5028,54.1838,-125.4955,206,cvw,-0.6809,0,231.9953,25.3659
13,27,-15.14,-34.6,-192.3786,60.0652,23.2918,-67.9116,54.5689,-125.7265,206,cvw,-0.7082,0,209.54,23.9891
13,28,-15.14,-34.77,-60.2303,60.3891,23.2641,-68.3268,54.953,-125.9615,206,cvw,-0.7359,0,113.7946,23.7497
14,22,-11.9,-30.43,-685.105,58.7578,23.4869,-64.986,52.7929,-123.707,206,cvw,-0.5131,0,238.2651,22.9959
14,23,-11.9,-30.59,-711.0645,59.1069,23.464,-65.3293,53.19,-123.8814,206,cvw,-0.536,0,253.9594,26.7185
14,24,-11.9,-30.76,-659.3555,59.4544,23.4407,-65.6776,53.5859,-124.0583,206,cvw,-0.5593,0,261.4067,27.2287
14,25,-11.9,-30.93,-413.1007,59.8003,23.4172,-66.0311,53.981,-124.238,206,cvw,-0.5828,0,241.7321,26.842
14,26,-11.9,-31.1,-145.6962,60.1448,23.3932,-66.3901,54.3752,-124.4206,206,cvw,-0.6068,0,216.1163,24.2441
14,27,-11.9,-31.27,-54.8068,60.4878,23.3689,-66.7548,54.7686,-124.6062,206,cvw,-0.6311,0,73.919,24.0466
15,21,-8.66,-26.89,-632.0884,58.6973,23.5722,-63.7055,52.5099,-122.6579,206,cvw,-0.4278,0,231.0653,22.0881
15,22,-8.66,-27.05,-632.0884,59.0627,23.5526,-63.9991,52.9141,-122.7869,206,cvw,-0.4474,0,253.9594,27.5149
15,23,-8.66,-27.22,-632.0884,59.4265,23.5328,-64.2966,53.3172,-122.9175,206,cvw,-0.4672,0,258.1107,28.7587
15,24,-8.66,-27.38,-322.1495,59.789,23.5127,-64.5984,53.7194,-123.0499,206,cvw,-0.4873,0,238.2651,28.7264
15,25,-8.66,-27.54,-142.0661,60.1502,23.4923,-64.9048,54.1208,-123.1842,206,cvw,-0.5077,0,210.2163,23.9891
15,26,-8.66,-27.71,-60.0483,60.5102,23.4715,-65.216,54.5214,-123.3204,206,cvw,-0.5285,0,81.2203,23.0786
16,20,-5.42,-23.33,-467.6405,58.5738,23.6537,-62.4828,52.1784,-121.6833,206,cvw,-0.3463,0,196.953,14.1101
16,21,-5.42,-23.49,-508.1474,58.9535,23.6376,-62.7253,52.588,-121.7676,206,cvw,-0.3624,0,231.0653,25.5011
16,22,-5.42,-23.64,-508.1474,59.3318,23.6212,-62.9707,52.9964,-121.8526,206,cvw,-0.3788,0,248.8816,29.7214
16,23,-5.42,-23.79,-298.431,59.7088,23.6046,-63.2192,53.4039,-121.9384,206,cvw,-0.3954,0,238.2651,29.5469
16,24,-5.42,-23.95,-111.1065,60.0847,23.5878,-63.4712,53.8105,-122.0251,206,cvw,-0.4122,0,180.9737,24.1947
16,25,-5.42,-24.11,-57.0821,60.4594,23.5708,-63.7268,54.2163,-122.1128,206,cvw,-0.4292,0,88.4242,22.2173
17,20,-2.18,-19.9,-410.7992,58.783,23.718,-61.5191,52.2163,-120.8282,206,cvw,-0.282,0,214.8931,19.5754
17,21,-2.18,-20.04,-419.4861,59.1738,23.7051,-61.7117,52.6284,-120.8688,206,cvw,-0.2949,0,247.2383,27.5072
17,22,-2.18,-20.19,-298.9718,59.5634,23.6922,-61.9062,53.0394,-120.9093,206,cvw,-0.3078,0,248.8816,30.213
17,23,-2.18,-20.33,-161.0746,59.9518,23.6791,-62.1029,53.4494,-120.9497,206,cvw,-0.3209,0,224.2806,27.9369
17,24,-2.18,-20.48,-53.5173,60.3393,23.6658,-62.3018,53.8585,-120.99,206,cvw,-0.3342,0,93.2198,20.8542
18,19,1.06,-16.31,-330.6796,58.5554,23.7933,-60.3895,51.8038,-119.9718,206,cvw,-0.2067,0,148.0948,14.1101
18,20,1.06,-16.44,-330.6796,58.9568,23.7839,-60.5297,52.218,-119.9697,206,cvw,-0.2161,0,202.1265,24.3633
18,21,1.06,-16.57,-329.1862,59.3569,23.7746,-60.6703,52.6309,-119.9665,206,cvw,-0.2254,0,248.2454,30.1258
18,22,1.06,-16.7,-173.882,59.756,23.7651,-60.8116,53.0426,-119.9622,206,cvw,-0.2349,0,236.7181,30.1258
18,23,1.06,-16.83,-50.738,60.1541,23.7557,-60.9539,53.4534,-119.9569,206,cvw,-0.2443,0,147.028,22.8091
19,19,4.3,-12.83,-266.6787,58.6851,23.8571,-59.4323,51.7701,-119.1576,206,cvw,-0.1429,0,118.4375,12.8917
19,20,4.3,-12.94,-258.0962,59.094,23.8512,-59.5201,52.1834,-119.1126,206,cvw,-0.1488,0,149.6852,27.9003
19,21,4.3,-13.05,-207.0821,59.5017,23.8455,-59.607,52.5954,-119.0656,206,cvw,-0.1545,0,202.1265,30.5201
19,22,4.3,-13.17,-68.5408,59.9084,23.8397,-59.6933,53.0061,-119.0167,206,cvw,-0.1603,0,183.7141,28.3768
20,19,7.54,-9.32,-200.3424,58.7792,23.9218,-58.462,51.7018,-118.3487,206,cvw,-0.0782,0,121.6287,13.8118
20,20,7.54,-9.42,-191.1591,59.1938,23.9195,-58.4962,52.1127,-118.2613,206,cvw,-0.0805,0,141.5163,28.494
20,21,7.54,-9.51,-110.9781,59.6072,23.9174,-58.5283,52.522,-118.1711,206,cvw,-0.0826,0,148.442,29.536
21,19,10.78,-5.79,-157.2834,58.837,23.987,-57.4842,51.5991,-117.5493,206,cvw,-0.013,0,121.6287,15.6875
21,20,10.78,-5.87,-124.2765,59.2555,23.9883,-57.4643,52.0059,-117.4204,206,cvw,-0.0117,0,126.3976,27.2439
21,21,10.78,-5.94,-71.698,59.6727,23.9899,-57.4408,52.4109,-117.2878,206,cvw,-0.0101,0,120.6465,27.8726
22,19,14.02,-2.24,-68.7003,58.858,0.0523,-56.5046,51.4624,-116.7635,206,cvw,0.0523,0,121.6287,15.6875
22,20,14.02,-2.3,-64.273,59.2785,0.0572,-56.4306,51.8635,-116.5941,206,cvw,0.0572,0,120.8096,25.1069
9,30,45.9,35.88,68.3831,60.8341,1.0427,-41.6484,51.3778,-105.1021,207,cve,1.0427,1,38.9041,23.5971
9,31,45.9,36.27,51.9146,61.1257,1.0892,-40.9513,51.5957,-104.5515,207,cve,1.0892,1,38.7367,21.6253
10,28,49.14,38.87,118.9203,59.762,1.0129,-42.0958,50.3401,-105.6066,207,cve,1.0129,1,41.0314,27.4581
10,29,49.14,39.23,105.6577,60.0415,1.0594,-41.3972,50.5417,-105.0517,207,cve,1.0594,1,40.7885,25.8444
10,30,49.14,39.62,97.0369,60.317,1.1068,-40.6867,50.7406,-104.4927,207,cve,1.1068,1,39.2065,23.4128
10,31,49.14,40.02,77.8343,60.5885,1.155,-39.964,50.9367,-103.9294,207,cve,1.155,1,38.9041,21.6253
10,32,49.14,40.44,65.1381,60.8559,1.204,-39.229,51.13,-103.3618,207,cve,1.204,1,34.9693,20.2155
10,33,49.14,40.88,54.6106,61.119,1.2538,-38.4815,51.3204,-102.7898,207,cve,1.2538,1,33.7929,19.5719
10,34,49.14,41.34,53.7822,61.3779,1.3045,-37.7214,51.5081,-102.2134,207,cve,1.3045,1,32.1242,19.3131
11,27,52.38,42.15,244.6312,58.9879,1.0202,-41.9857,49.5412,-105.6526,207,cve,1.0202,1,130.1075,25.5447
11,28,52.38,42.51,179.0293,59.2511,1.0675,-41.2767,49.7238,-105.0906,207,cve,1.0675,1,107.6842,25.4206
11,29,52.38,42.89,145.522,59.5103,1.1155,-40.5567,49.9036,-104.525,207,cve,1.1155,1,73.308,24.072
11,30,52.38,43.29,125.266,59.7653,1.1642,-39.8254,50.0805,-103.9558,207,cve,1.1642,1,49.9459,22.7676
11,31,52.38,43.7,109.9927,60.0161,1.2137,-39.0827,50.2544,-103.3828,207,cve,1.2137,1,45.5844,21.5062
11,32,52.38,44.13,95.0116,60.2624,1.264,-38.3284,50.4255,-102.806,207,cve,1.264,1,34.9693,20.2155
11,33,52.38,44.58,90.876,60.5042,1.3151,-37.5625,50.5936,-102.2254,207,cve,1.3151,1,32.1242,19.3763
11,34,52.38,45.05,69.7619,60.7414,1.3669,-36.7849,50.7587,-101.641,207,cve,1.3669,1,31.8214,19.043
11,35,52.38,45.54,62.9693,60.9739,1.4196,-35.9954,50.9208,-101.0526,207,cve,1.4196,1,31.8214,18.4945
12,26,55.62,45.39,358.8412,58.2207,1.0199,-41.9906,48.7639,-105.7788,207,cve,1.0199,1,212.5418,21.6924
12,27,55.62,45.74,290.4995,58.4676,1.0676,-41.2746,48.9276,-105.2114,207,cve,1.0676,1,155.4609,22.1243
12,28,55.62,46.11,265.7351,58.7103,1.116,-40.5483,49.0883,-104.6409,207,cve,1.116,1,125.7094,22.377
12,29,55.62,46.5,231.3556,58.9486,1.1651,-39.8117,49.2459,-104.0673,207,cve,1.1651,1,107.6842,22.377
12,30,55.62,46.91,200.7756,59.1825,1.2149,-39.0646,49.4005,-103.4906,207,cve,1.2149,1,87.689,21.1253
12,31,55.62,47.33,146.4815,59.412,1.2655,-38.307,49.5521,-102.9107,207,cve,1.2655,1,76.6058,20.6516
12,32,55.62,47.76,131.7651,59.6368,1.3167,-37.5387,49.7006,-102.3275,207,cve,1.3167,1,45.5844,19.7569
12,33,55.62,48.22,121.7891,59.8568,1.3686,-36.7598,49.8461,-101.7412,207,cve,1.3686,1,38.3939,19.3763
12,34,55.62,48.69,101.3745,60.0721,1.4212,-35.9701,49.9885,-101.1515,207,cve,1.4212,1,36.1684,18.3271
12,35,55.62,49.17,82.814,60.2824,1.4746,-35.1698,50.1278,-100.5586,207,cve,1.4746,1,36.1684,17.706
12,36,55.62,49.67,64.7672,60.4876,1.5287,-34.3587,50.264,-99.9625,207,cve,1.5287,1,33.4167,17.4131
12,37,55.62,50.19,55.1226,60.6877,1.5835,-33.5369,50.3971,-99.3631,207,cve,1.5835,1,31.0589,16.9825
13,27,58.86,49.29,303.5469,57.9208,1.1093,-40.6493,48.2976,-104.8331,207,cve,1.1093,1,134.5519,17.1777
13,28,58.86,49.67,301.3778,58.1424,1.1586,-39.9102,48.436,-104.2566,207,cve,1.1586,1,117.6495,17.1777
13,29,58.86,50.06,285.1427,58.3594,1.2085,-39.1615,48.5713,-103.6776,207,cve,1.2085,1,116.5049,16.826
13,30,58.86,50.47,237.0563,58.5719,1.259,-38.4033,48.7035,-103.0959,207,cve,1.259,1,112.9668,18.3011
13,31,58.86,50.89,219.5072,58.7796,1.3102,-37.6355,48.8325,-102.5117,207,cve,1.3102,1,103.2339,18.3011
13,32,58.86,51.33,200.7944,58.9826,1.362,-36.8581,48.9584,-101.9248,207,cve,1.362,1,74.576,19.0485
13,33,58.86,51.78,164.8865,59.1806,1.4145,-36.0711,49.0812,-101.3352,207,cve,1.4145,1,56.6052,19.0199
13,34,58.86,52.25,147.8495,59.3737,1.4676,-35.2745,49.2008,-100.743,207,cve,1.4676,1,55.5127,17.4259
13,35,58.86,52.73,118.1139,59.5616,1.5214,-34.4683,49.3172,-100.1481,207,cve,1.5214,1,55.5127,17.0997
13,36,58.86,53.23,90.864,59.7444,1.5757,-33.6526,49.4305,-99.5507,207,cve,1.5757,1,39.2179,16.344
13,37,58.86,53.74,84.8527,59.9218,1.6308,-32.8275,49.5406,-98.9505,207,cve,1.6308,1,36.6467,15.5322
13,38,58.86,54.27,68.6473,60.0938,1.6864,-31.993,49.6474,-98.3478,207,cve,1.6864,1,31.499,14.2101
13,39,58.86,54.81,56.79,60.2602,1.7426,-31.1492,49.7511,-97.7425,207,cve,1.7426,1,29.4877,13.0401
14,29,62.1,53.56,301.3778,57.7458,1.2456,-38.6048,47.8825,-103.3545,207,cve,1.2456,1,111.9357,15.9915
14,30,62.1,53.97,299.0393,57.9365,1.2966,-37.8398,47.9922,-102.7703,207,cve,1.2966,1,116.5049,15.9915
14,31,62.1,54.39,256.5666,58.1224,1.3482,-37.0662,48.0986,-102.1841,207,cve,1.3482,1,120.5786,13.2736
14,32,62.1,54.83,230.1657,58.3033,1.4003,-36.2841,48.2019,-101.5958,207,cve,1.4003,1,111.5251,13.2736
14,33,62.1,55.28,224.6428,58.4792,1.453,-35.4935,48.3019,-101.0054,207,cve,1.453,1,99.9531,15.2577
14,34,62.1,55.74,216.768,58.65,1.5063,-34.6944,48.3987,-100.4129,207,cve,1.5063,1,99.9531,11.2875
14,35,62.1,56.22,213.1593,58.8155,1.5601,-33.8869,48.4924,-99.8185,207,cve,1.5601,1,103.9048,11.9463
14,36,62.1,56.71,211.7778,58.9758,1.6145,-33.0711,48.5827,-99.222,207,cve,1.6145,1,103.9048,12.8277
14,37,62.1,57.21,154.4437,59.1306,1.6694,-32.2471,48.6699,-98.6235,207,cve,1.6694,1,78.5409,12.3112
14,38,62.1,57.72,131.715,59.2799,1.7249,-31.4151,48.7538,-98.023,207,cve,1.7249,1,70.2067,11.0636
14,39,62.1,58.25,125.792,59.4236,1.7809,-30.5751,48.8344,-97.4205,207,cve,1.7809,1,78.5409,10.3939
14,40,62.1,58.79,115.4975,59.5616,1.8374,-29.7274,48.9118,-96.8162,207,cve,1.8374,1,84.7901,10.1828
14,41,62.1,59.34,83.5748,59.6937,1.8944,-28.8721,48.9858,-96.21,207,cve,1.8944,1,45.3772,9.931
15,33,65.34,58.71,239.9161,57.7559,1.4844,-35.0231,47.5112,-100.7493,207,cve,1.4844,1,122.9039,11.046
15,34,65.34,59.17,230.1657,57.9044,1.5376,-34.2256,47.5854,-100.1588,207,cve,1.5376,1,122.9039,10.4437
15,35,65.34,59.64,307.7472,58.0477,1.5912,-33.4208,47.6563,-99.5668,207,cve,1.5912,1,118.3562,10.4437
15,36,65.34,60.11,306.4036,58.1856,1.6453,-32.6089,47.7239,-98.9733,207,cve,1.6453,1,118.7741,10.9708
15,37,65.34,60.6,298.6686,58.318,1.6999,-31.79,47.7883,-98.3785,207,cve,1.6999,1,117.7635,10.3939
15,38,65.34,61.1,287.3117,58.4448,1.755,-30.9644,47.8494,-97.7823,207,cve,1.755,1,96.8348,9.7741
15,39,65.34,61.61,226.2058,58.5661,1.8104,-30.1321,47.9072,-97.1847,207,cve,1.8104,1,113.1127,9.5706
15,40,65.34,62.13,200.2823,58.6815,1.8664,-29.2933,47.9618,-96.5858,207,cve,1.8664,1,128.6562,8.8751
16,38,68.58,64.41,298.6686,57.5923,1.777,-30.634,46.9374,-97.622,207,cve,1.777,1,100.0912,9.7741
16,39,68.58,64.91,291.175,57.6914,1.8317,-29.8126,46.9727,-97.031,207,cve,1.8317,1,128.6562,8.3367
0,19,10.98,7.23,50.5583,57.9366,1.8186,-30.0092,47.2433,-97.1504,205,fhe,1.8186,1,61.3742,13.0857
1,19,14.22,11.07,82.6609,57.9006,1.8874,-28.9775,47.1246,-96.4245,205,fhe,1.8874,1,57.7146,14.7559
1,20,14.22,11.27,78.4729,58.2954,1.9026,-28.7496,47.5184,-96.2342,205,fhe,1.9026,1,60.7782,20.5143
2,19,17.46,14.9,108.7693,57.8283,1.955,-27.9631,46.9735,-95.7154,205,fhe,1.955,1,44.114,14.7559
2,20,17.46,15.14,108.7693,58.2168,1.9738,-27.6814,47.3586,-95.4906,205,fhe,1.9738,1,49.441,25.4947
2,21,17.46,15.38,85.9597,58.6032,1.9928,-27.3963,47.7423,-95.2646,205,fhe,1.9928,1,48.3812,28.5862
14,23,-13.66,-22.02,-388.8879,58.5825,1.2635,-38.3357,48.7068,-103.0454,204,fhw,1.2635,1,228.424,12.1275
14,24,-13.66,-22.17,-119.1836,58.9327,1.2427,-38.649,49.0993,-103.2246,204,fhw,1.2427,1,209.3016,11.6233
14,25,-13.66,-22.32,-59.0592,59.2815,1.2214,-38.9672,49.4908,-103.4059,204,fhw,1.2214,1,71.7155,8.8347
14,26,-13.66,-22.47,-53.6858,59.6288,1.1999,-39.2907,49.8814,-103.5896,204,fhw,1.1999,1,67.5745,6.8408
